Motiv;Soubor;Formát;Velikost_B;Velikost_kB;Poznámka;Ztratova_ANO_NE;Vhodne_pouziti
Fotografie;foto_jpeg_q95.jpg;JPEG (ztrátová);261752;255.6;kvalita 95;;
Fotografie;foto_jpeg_q75.jpg;JPEG (ztrátová);54810;53.5;kvalita 75;;
Fotografie;foto_jpeg_q40.jpg;JPEG (ztrátová);33771;33.0;kvalita 40;;
Fotografie;foto_jpeg_q15.jpg;JPEG (ztrátová);28681;28.0;kvalita 15;;
Fotografie;foto_png.png;PNG (bezztrátová);297185;290.2;plná kvalita;;
Fotografie;foto_webp_q75.webp;WebP (ztrátová);14596;14.3;kvalita 75;;
Fotografie;foto_gif.gif;GIF (256 barev);184838;180.5;nevhodné pro foto;;
Logo;logo_jpeg_q95.jpg;JPEG (ztrátová);40540;39.6;kvalita 95 – všimni si okrajů;;
Logo;logo_jpeg_q40.jpg;JPEG (ztrátová);18682;18.2;kvalita 40 – všimni si okrajů;;
Logo;logo_png.png;PNG (bezztrátová);5227;5.1;ostré hrany;;
Logo;logo_gif16.gif;GIF (16 barev);4446;4.3;stačí málo barev;;
Barevná hloubka;hloubka_24bit.png;24 bit;297185;290.2;16777216 barev;;
Barevná hloubka;hloubka_8bit.png;8 bit;259280;253.2;256 barev;;
Barevná hloubka;hloubka_4bit.png;4 bit;108167;105.6;16 barev;;
Barevná hloubka;hloubka_1bit.png;1 bit;8163;8.0;2 barev;;
